County,miles^2
Appling,512
Atkinson,345
Bacon,286
Baker,349
Baldwin,269
Banks,234
Barrow,163
Bartow,470
Ben Hill,254
Berrien,458
Bibb,255
Bleckley,219
Brantley,447
Brooks,498
Bryan,454
Bulloch,689
Burke,834
Butts,188
Calhoun,284
Camden,782
Candler,249
Carroll,504
Catoosa,162
Charlton,782
Chatham,632
Chattahoochee,251
Chattooga,314
Cherokee,434
Clarke,121
Clay,217
Clayton,144
Clinch,824
Cobb,345
Coffee,603
Colquitt,557
Columbia,308
Cook,233
Coweta,446
Crawford,326
Crisp,281
Dade,174
Dawson,214
Decatur,623
DeKalb,271
Dodge,503
Dooly,397
Dougherty,335
Douglas,201
Early,516
Echols,421
Effingham,483
Elbert,374
Emanuel,690
Evans,187
Fannin,391
Fayette,199
Floyd,519
Forsyth,247
Franklin,267
Fulton,534
Gilmer,432
Glascock,144
Glynn,585
Gordon,358
Grady,460
Greene,406
Gwinnett,437
Habersham,279
Hall,429
Hancock,477
Haralson,283
Harris,473
Hart,257
Heard,301
Henry,327
Houston,380
Irwin,363
Jackson,343
Jasper,374
Jeff Davis,335
Jefferson,531
Jenkins,352
Johnson,307
Jones,395
Lamar,186
Lanier,200
Laurens,818
Lee,362
Liberty,603
Lincoln,257
Long,404
Lowndes,510
Lumpkin,284
Macon,406
Madison,286
Marion,367
McDuffie,266
McIntosh,574
Meriwether,505
Miller,284
Mitchell,514
Monroe,398
Montgomery,245
Morgan,355
Murray,347
Muscogee,221
Newton,279
Oconee,186
Oglethorpe,442
Paulding,314
Peach,151
Pickens,233
Pierce,343
Pike,219
Polk,312
Pulaski,250
Putnam,361
Quitman,161
Rabun,377
Randolph,431
Richmond,328
Rockdale,132
Schley,168
Screven,656
Seminole,257
Spalding,200
Stephens,184
Stewart,463
Sumter,493
Talbot,395
Taliaferro,195
Tattnall,488
Taylor,380
Telfair,444
Terrell,338
Thomas,552
Tift,269
Toombs,371
Towns,172
Treutlen,202
Troup,446
Turner,290
Twiggs,363
Union,329
Upson,328
Walker,447
Walton,330
Ware,908
Warren,287
Washington,684
Wayne,649
Webster,210
Wheeler,300
White,242
Whitfield,291
Wilcox,383
Wilkes,474
Wilkinson,452
Worth,575
